Latitude,Longitude,Methane (CH4) emissions metric tons carbon equivalent,Industry Type (sectors),Facility Name,Address,City,State,Zip Code,County
41.41,-88.31,3657.25,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",AUX SABLE LIQUID PRODUCTS INC,6155 EAST U.S. ROUTE 6,MORRIS,IL,60450,GRUNDY COUNTY
39.50,-80.56,3655.75,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",Mobley  Gas Plant,14624 North Fork Road,Smithfield,WV,26437,WETZEL COUNTY
32.75,-100.96,3654.25,Petroleum and Natural Gas Systems,SACROC CO2 TREATMENT,3775 County Road 226,SNYDER,TX,79549,SCURRY COUNTY
36.81,-76.30,3646.25,Waste,Wheelabrator Portsmouth Inc.,3809 ELM AVENUE,PORTSMOUTH,VA,23704,PORTSMOUTH CITY
39.75,-89.60,3645.25,Power Plants,Dallman,3100 STEVENSON DRIVE,SPRINGFIELD,IL,62703,Sangamon
60.86,-151.61,3633.5,Petroleum and Natural Gas Systems,King Salmon Platform,,Anchorage,AK,99503,KENAI PENINSULA
30.61,-94.95,3632.25,Petroleum and Natural Gas Systems,Gulf South Pipeline - Goodrich Station,228 East FM 1988,Goodrich,TX,77335,POLK COUNTY
27.62,-82.52,3632,Petroleum and Natural Gas Systems,GULFSTREAM STATION 420,4610 BUCKEYE ROAD,PALMETTO,FL,34221,MANATEE COUNTY
30.45,-92.52,3630,Petroleum and Natural Gas Systems,"KMLP Station 760 Eunice, LA",1949 Coulee Road,Eunice,LA,70535,ACADIA PARISH
29.93,-89.94,3629.25,"Petroleum Product Suppliers,Refineries",MERAUX REFINERY,2500 EAST SAINT BERNARD HIGHWAY,MERAUX,LA,70075,ST. BERNARD PARISH
39.59,-75.63,3627.25,"Petroleum Product Suppliers,Power Plants,Refineries,Suppliers of CO2",Delaware City Refinery,4550 WRANGLE HILL ROAD,DELAWARE CITY,DE,19706,New Castle
34.49,-97.59,3625,Petroleum and Natural Gas Systems,SHOLEM GAS PLANT,,COUNTYLINE,OK,73425,STEPHENS COUNTY
31.97,-93.67,3621.5,Petroleum and Natural Gas Systems,Battlefield Gas Plant,3461 LA Highway 513,Mansfield,LA,71052,
27.32,-90.54,3620.75,Petroleum and Natural Gas Systems,"Holstein, MMS Platform ID 02481, Complex ID 1035-1",,Offshore,LA,0,
40.35,-104.59,3614,Petroleum and Natural Gas Systems,O'Connor Gas Plant,,LaSalle,CO,80645,WELD COUNTY
40.02,-105.03,3605.25,Waste,DENVER REGIONAL LANDFILL,1441 WELD COUNTY ROAD 6,ERIE,CO,80516,WELD COUNTY
39.49,-84.23,3596.5,Petroleum and Natural Gas Systems,Eastern Gas Transmission and Storage - Lebanon Station (Tran),1262 West State Route 122,Lebanon,OH,45036,
35.19,-94.65,3588.25,Power Plants,River Valley Generating Station,3 MILES E. OF JUNCTION 31,PANAMA,OK,74951,LE FLORE COUNTY
43.45,-85.14,3588,Petroleum and Natural Gas Systems,Taggart (Six Lakes) Compressor Station,10450 Nevins Road,Six Lakes,MI,48886,MONTCALM COUNTY
